159,158000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
160,159000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
161,160000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
162,161000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
163,162000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
164,163000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
165,164000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
166,165000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
167,166000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
168,167000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
169,168000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
170,169000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
171,170000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
172,171000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
173,172000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
174,173000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
175,174000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
176,175000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
177,176000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
178,177000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
179,178000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
180,179000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
181,180000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
182,181000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
183,182000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
184,183000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
185,184000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
186,185000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
187,186000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
188,187000,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
